#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-1822BF62DFE7B455-44395639D38F915
#datatype	hitsConcise Results
#status	0
#Start time	2020-05-11T20:42:37	Run time	0:00:00:19
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#13 - XP_012563439.1	specific	369426	461	507	1.52277e-13	65.3453	pfam07562	NCD3G	 - 	cl08456
Q#14 - XP_030828737.1	superfamily	385651	51	512	0	657.281	cl10011	Periplasmic_Binding_Protein_type1 superfamily	 - 	 - 
Q#14 - XP_030828737.1	specific	320600	602	854	9.04067e-163	475.564	cd15934	7tmC_mGluRs_group2_3	 - 	cl28897
Q#14 - XP_030828737.1	specific	369426	532	582	3.48499e-17	75.7457	pfam07562	NCD3G	 - 	cl08456
Q#15 - XP_030828738.1	superfamily	385651	51	512	0	657.281	cl10011	Periplasmic_Binding_Protein_type1 superfamily	 - 	 - 
Q#15 - XP_030828738.1	specific	320600	602	854	5.98756e-162	472.483	cd15934	7tmC_mGluRs_group2_3	 - 	cl28897
Q#15 - XP_030828738.1	specific	369426	532	582	4.17344e-17	75.7457	pfam07562	NCD3G	 - 	cl08456
Q#16 - XP_030838074.1	superfamily	385651	139	579	1.17644e-125	393.968	cl10011	Periplasmic_Binding_Protein_type1 superfamily	 - 	 - 
Q#16 - XP_030838074.1	specific	320091	669	918	7.42134e-75	248.306	cd13953	7tm_classC_mGluR-like	 - 	cl28897
Q#16 - XP_030838074.1	specific	369426	598	647	1.61555e-14	68.8121	pfam07562	NCD3G	 - 	cl08456
Q#16 - XP_030838074.1	superfamily	274009	1004	1185	2.37793e-06	51.9923	cl37070	SMC_prok_A superfamily	NC	 - 
Q#17 - XP_030838075.1	superfamily	385651	139	579	1.04045e-125	393.968	cl10011	Periplasmic_Binding_Protein_type1 superfamily	 - 	 - 
Q#17 - XP_030838075.1	specific	320091	669	918	5.7283e-75	248.306	cd13953	7tm_classC_mGluR-like	 - 	cl28897
Q#17 - XP_030838075.1	specific	369426	598	647	1.9251e-14	68.4269	pfam07562	NCD3G	 - 	cl08456
Q#17 - XP_030838075.1	superfamily	274009	992	1173	2.34905e-06	51.9923	cl37070	SMC_prok_A superfamily	NC	 - 

